Player, Mat, inn, ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Chetan Sakariya,14,14,52,426,14,3/31,3/31,30.42,22.28,8.19,0
Kagiso Rabada,15,15,56,456,15,3/36,3/36,30.40,22.40,8.14,0
Ravindra Jadeja,16,16,49,346,13,3/13,3/13,26.61,22.61,7.06,0
Varun Chakaravarthy,17,17,68,448,18,3/13,3/13,24.88,22.66,6.58,0
Deepak Chahar,15,15,54,451,14,4/13,4/13,32.21,23.14,8.35,2
Trent Boult,14,14,51.2,406,13,3/28,3/28,31.23,23.69,7.90,0
Tim Southee,3,3,12,95,3,2/26,2/26,31.66,24.00,7.91,0
Dan Christian,9,9,16.4,155,4,2/14,2/14,38.75,25.00,9.30,0
Moeen Ali,15,10,25.2,161,6,3/7,3/7,26.83,25.33,6.35,0
Riley Meredith,5,5,17,169,4,1/29,1/29,42.25,25.50,9.94,0
Siddarth Kaul,8,8,30,247,7,2/31,2/31,35.28,25.71,8.23,0
Harpreet Brar,7,7,23,139,5,3/19,3/19,27.80,27.60,6.04,0
Rahul Tewatia,14,13,37,340,8,3/39,3/39,42.50,27.75,9.18,0
Adam Milne,4,4,14,131,3,2/21,2/21,43.66,28.00,9.35,0
Mohammed Siraj,15,15,52,353,11,3/27,3/27,32.09,28.36,6.78,0
George Garton,5,5,15,135,3,1/27,1/27,45.00,30.00,9.00,0
Washington Sundar,6,6,16,118,3,1/7,1/7,39.33,32.00,7.37,0
Glenn Maxwell,15,6,16,135,3,2/23,2/23,45.00,32.00,8.43,0
Khaleel Ahmed,7,7,27,219,5,3/21,3/21,43.80,32.40,8.11,0
Jaydev Unadkat,6,6,22,168,4,3/15,3/15,42.00,33.00,7.63,0
Marcus Stoinis,10,8,11.1,117,2,1/7,1/7,58.50,33.50,10.47,0
Umran Malik,3,3,12,96,2,1/21,1/21,48.00,36.00,8.00,0
Ravichandran Ashwin,13,13,44.4,331,7,2/27,2/27,47.28,38.28,7.41,0
Shakib Al Hasan,8,8,26,187,4,1/1,1/1,46.75,39.00,7.19,0
Krunal Pandya,13,12,33.1,265,5,1/13,1/13,53.00,39.80,7.98,0
Bhuvneshwar Kumar,11,11,42,335,6,1/16,1/16,55.83,42.00,7.97,0
Sandeep Sharma,7,7,23.3,203,3,1/20,1/20,67.66,47.00,8.63,0
Deepak Hooda,12,7,16,136,2,1/15,1/15,68.00,48.00,8.50,0
Jayant Yadav,5,5,17,130,2,1/25,1/25,65.00,51.00,7.64,0
Fabian Allen,4,3,11,90,1,1/22,1/22,90.00,66.00,8.18,0
Murugan Ashwin,3,3,11,97,1,1/32,1/32,97.00,66.00,8.81,0
Ishant Sharma,3,3,12,97,1,1/26,1/26,97.00,72.00,8.08,0
Nathan Ellis,3,3,12,98,1,1/20,1/20,98.00,72.00,8.16,0
