name,match,inn,no,runs,hs,avg,bf,sr,hund,fif,four,six
Prabhsimran Singh,2,2,0,19,12,9.5,23,82.6,0,0,1,1
Shakib Al Hasan,8,6,1,47,26,9.4,48,97.91,0,0,3,1
Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2
Liam Livingstone,5,5,0,42,25,8.4,41,102.43,0,0,3,1
Axar Patel,12,6,1,40,12,8,46,86.95,0,0,2,1
Jasprit Bumrah,14,7,5,16,5,8,17,94.11,0,0,2,0
Adam Milne,4,3,1,16,15,8,17,94.11,0,0,0,1
Sandeep Sharma,7,2,1,8,8,8,7,114.28,0,0,1,0
Ajinkya Rahane,2,1,0,8,8,8,8,100,0,0,1,0
Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5
Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0
Nicholas Pooran,12,11,0,85,32,7.72,76,111.84,0,0,3,5
Jhye Richardson,3,2,0,15,15,7.5,24,62.5,0,0,2,0
Murugan Ashwin,3,2,0,15,9,7.5,24,62.5,0,0,1,0
Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0
Shreyas Gopal,3,2,1,7,7,7,5,140,0,0,0,1
Sachin Baby,1,1,0,7,7,7,17,41.17,0,0,0,0
Fabian Allen,4,3,2,6,6,6,12,50,0,0,0,0
Daniel Sams,2,2,1,6,3,6,6,100,0,0,0,0
Chetan Sakariya,14,6,1,16,7,3.2,25,64,0,0,2,0
Tim Southee,3,1,0,3,3,3,5,60,0,0,0,0
Rahul Chahar,11,5,0,14,8,2.8,15,93.33,0,0,1,0
Shardul Thakur,16,4,2,5,3,2.5,5,100,0,0,0,0
Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0
Nathan Coulter-Nile,5,2,0,4,3,2,5,80,0,0,0,0
George Garton,5,3,2,2,2,2,4,50,0,0,0,0
Varun Chakaravarthy,17,3,2,2,2,2,4,50,0,0,0,0
Kartik Tyagi,4,2,1,2,1,2,4,50,0,0,0,0
Navdeep Saini,2,1,0,2,2,2,4,50,0,0,0,0
Tim Seifert,1,1,0,2,2,2,4,50,0,0,0,0
Wanindu Hasaranga,2,2,1,1,1,1,2,50,0,0,0,0
Tim David,1,1,0,1,1,1,3,33.33,0,0,0,0
Khaleel Ahmed,7,1,0,1,1,1,2,50,0,0,0,0
Ravi Bishnoi,9,1,0,1,1,1,4,25,0,0,0,0
