Player, Mat, Inn, Ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Lalit Yadav,7,5,14,101,4,2/13,25.25,7.21,21.00,0,0
Jaydev Unadkat,6,6,22,168,4,3/15,42.00,7.63,33.00,0,0
Chris Jordan,4,4,12,96,4,2/20,24.00,8.00,18.00,0,0
Kartik Tyagi,4,4,14,124,4,2/29,31.00,8.85,21.00,0,0
Tom Curran,3,3,11.2,104,4,3/29,26.00,9.17,17.00,0,0
Dan Christian,9,9,16.4,155,4,2/14,38.75,9.30,25.00,0,0
Riley Meredith,5,5,17,169,4,1/29,42.25,9.94,25.50,0,0
Washington Sundar,6,6,16,118,3,1/7,39.33,7.37,32.00,0,0
Tim Southee,3,3,12,95,3,2/26,31.66,7.91,24.00,0,0
Venkatesh Iyer,10,4,8.3,69,3,2/29,23.00,8.11,17.00,0,0
Glenn Maxwell,15,6,16,135,3,2/23,45.00,8.43,32.00,0,0
Sandeep Sharma,7,7,23.3,203,3,1/20,67.66,8.63,47.00,0,0
George Garton,5,5,15,135,3,1/27,45.00,9.00,30.00,0,0
Vijay Shankar,7,5,11,100,3,2/19,33.33,9.09,22.00,0,0
Adam Milne,4,4,14,131,3,2/21,43.66,9.35,28.00,0,0
Jhye Richardson,3,3,11,117,3,2/41,39.00,10.63,22.00,0,0
Imran Tahir,1,1,4,16,2,2/16,8.00,4.00,12.00,0,0
Mujeeb Ur Rahman,1,1,4,29,2,2/29,14.50,7.25,12.00,0,0
Marco Jansen,2,2,6,45,2,2/28,22.50,7.50,18.00,0,0
Jayant Yadav,5,5,17,130,2,1/25,65.00,7.64,51.00,0,0
Umran Malik,3,3,12,96,2,1/21,48.00,8.00,36.00,0,0
Deepak Hooda,12,7,16,136,2,1/15,68.00,8.50,48.00,0,0
T Natarajan,2,2,8,69,2,1/32,34.50,8.62,24.00,0,0
Marcus Stoinis,10,8,11.1,117,2,1/7,58.50,10.47,33.50,0,0
Mohammad Nabi,3,3,8,86,2,2/32,43.00,10.75,24.00,0,0
Daniel Sams,2,2,6,39,1,1/24,39.00,6.50,36.00,0,0
Mahipal Lomror,4,4,7,47,1,1/22,47.00,6.71,42.00,0,0
Ishant Sharma,3,3,12,97,1,1/26,97.00,8.08,72.00,0,0
Nathan Ellis,3,3,12,98,1,1/20,98.00,8.16,72.00,0,0
Fabian Allen,4,3,11,90,1,1/22,90.00,8.18,66.00,0,0
KM Asif,1,1,2.1,18,1,1/18,18.00,8.30,13.00,0,0
Murugan Ashwin,3,3,11,97,1,1/32,97.00,8.81,66.00,0,0
Shahbaz Nadeem,1,1,4,36,1,1/36,36.00,9.00,24.00,0,0
Abdul Samad,11,1,1,9,1,1/9,9.00,9.00,6.00,0,0
Piyush Chawla,1,1,4,38,1,1/38,38.00,9.50,24.00,0,0
Kane Richardson,1,1,3,29,1,1/29,29.00,9.66,18.00,0,0
Ishan Porel,1,1,4,39,1,1/39,39.00,9.75,24.00,0,0
Glenn Phillips,3,2,2,20,1,1/17,20.00,10.00,12.00,0,0
Lukman Meriwala,1,1,3,32,1,1/32,32.00,10.66,18.00,0,0
Riyan Parag,11,6,6.1,73,1,1/7,73.00,11.83,37.00,0,0
Aiden Markram,6,2,4,23,0,0/5,0.00,5.75,0.00,0,0
Nitish Rana,17,2,2,12,0,0/5,0.00,6.00,0.00,0,0
Ripal Patel,2,1,3,22,0,0/22,0.00,7.33,0.00,0,0
Sandeep Warrier,1,1,2,15,0,0/15,0.00,7.50,0.00,0,0
Kuldip Yadav,1,1,2,16,0,0/16,0.00,8.00,0.00,0,0
Tabraiz Shamsi,1,1,4,34,0,0/34,0.00,8.50,0.00,0,0
Mayank Markande,1,1,3,26,0,0/26,0.00,8.66,0.00,0,0
Harbhajan Singh,3,3,7,63,0,0/8,0.00,9.00,0.00,0,0
Jalaj Saxena,1,1,3,27,0,0/27,0.00,9.00,0.00,0,0
Jagadeesha Suchith,2,2,7,66,0,0/21,0.00,9.42,0.00,0,0
Akash Singh,1,1,4,39,0,0/39,0.00,9.75,0.00,0,0
Shivam Dube,9,4,5,49,0,0/5,0.00,9.80,0.00,0,0
Wanindu Hasaranga,2,2,6,60,0,0/20,0.00,10.00,0.00,0,0
Rohit Sharma,13,2,1.1,13,0,0/4,0.00,11.14,0.00,0,0
Adil Rashid,1,1,3,35,0,0/35,0.00,11.66,0.00,0,0
Ben Stokes,1,1,1,12,0,0/12,0.00,12.00,0.00,0,0
Dhawal Kulkarni,1,1,4,48,0,0/48,0.00,12.00,0.00,0,0
Shreyas Gopal,3,3,7,84,0,0/9,0.00,12.00,0.00,0,0
Kamlesh Nagarkoti,1,1,2,25,0,0/25,0.00,12.50,0.00,0,0
Navdeep Saini,2,2,4,52,0,0/25,0.00,13.00,0.00,0,0
