Player, Mat, inn, ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Nathan Ellis,3,3,12,98,1,1/20,8.16,98.00,72.00,0,0
Fabian Allen,4,3,11,90,1,1/22,8.18,90.00,66.00,0,0
Chetan Sakariya,14,14,52,426,14,3/31,8.19,30.42,22.28,0,0
Siddarth Kaul,8,8,30,247,7,2/31,8.23,35.28,25.71,0,0
Arshdeep Singh,12,12,41.2,342,18,5/32,8.27,19.00,13.77,0,1
KM Asif,1,1,2.1,18,1,1/18,8.30,18.00,13.00,0,0
Deepak Chahar,15,15,54,451,14,4/13,8.35,32.21,23.14,2,0
Josh Hazlewood,9,9,35,293,11,3/24,8.37,26.63,19.09,0,0
Mustafizur Rahman,14,14,51.5,436,14,3/20,8.41,31.14,22.21,0,0
Glenn Maxwell,15,6,16,135,3,2/23,8.43,45.00,32.00,0,0
Deepak Hooda,12,7,16,136,2,1/15,8.50,68.00,48.00,0,0
Tabraiz Shamsi,1,1,4,34,0,0/34,8.50,0.00,0.00,0,0
T Natarajan,2,2,8,69,2,1/32,8.62,34.50,24.00,0,0
Sandeep Sharma,7,7,23.3,203,3,1/20,8.63,67.66,47.00,0,0
Mayank Markande,1,1,3,26,0,0/26,8.66,0.00,0.00,0,0
Shardul Thakur,16,16,59.5,527,21,3/28,8.80,25.09,17.09,0,0
Murugan Ashwin,3,3,11,97,1,1/32,8.81,97.00,66.00,0,0
Pat Cummins,7,7,26.5,237,9,3/24,8.83,26.33,17.88,0,0
Kartik Tyagi,4,4,14,124,4,2/29,8.85,31.00,21.00,0,0
George Garton,5,5,15,135,3,1/27,9.00,45.00,30.00,0,0
Shahbaz Nadeem,1,1,4,36,1,1/36,9.00,36.00,24.00,0,0
Harbhajan Singh,3,3,7,63,0,0/8,9.00,0.00,0.00,0,0
Jalaj Saxena,1,1,3,27,0,0/27,9.00,0.00,0.00,0,0
Vijay Shankar,7,5,11,100,3,2/19,9.09,33.33,22.00,0,0
Prasidh Krishna,10,10,38.3,351,12,3/30,9.11,29.25,19.25,0,0
Chris Morris,11,11,41,376,15,4/23,9.17,25.06,16.40,1,0
Tom Curran,3,3,11.2,104,4,3/29,9.17,26.00,17.00,0,0
Rahul Tewatia,14,13,37,340,8,3/39,9.18,42.50,27.75,0,0
Dan Christian,9,9,16.4,155,4,2/14,9.30,38.75,25.00,0,0
Adam Milne,4,4,14,131,3,2/21,9.35,43.66,28.00,0,0
Jagadeesha Suchith,2,2,7,66,0,0/21,9.42,0.00,0.00,0,0
Piyush Chawla,1,1,4,38,1,1/38,9.50,38.00,24.00,0,0
Kyle Jamieson,9,9,28,269,9,3/41,9.60,29.88,18.66,0,0
Kane Richardson,1,1,3,29,1,1/29,9.66,29.00,18.00,0,0
Ishan Porel,1,1,4,39,1,1/39,9.75,39.00,24.00,0,0
Akash Singh,1,1,4,39,0,0/39,9.75,0.00,0.00,0,0
Shivam Dube,9,4,5,49,0,0/5,9.80,0.00,0.00,0,0
Andre Russell,10,8,19,188,11,5/15,9.89,17.09,10.36,0,1
Sam Curran,9,9,33,328,9,3/34,9.93,36.44,22.00,0,0
Riley Meredith,5,5,17,169,4,1/29,9.94,42.25,25.50,0,0
Glenn Phillips,3,2,2,20,1,1/17,10.00,20.00,12.00,0,0
Wanindu Hasaranga,2,2,6,60,0,0/20,10.00,0.00,0.00,0,0
Lungi Ngidi,3,3,12,125,5,3/28,10.41,25.00,14.40,0,0
Marcus Stoinis,10,8,11.1,117,2,1/7,10.47,58.50,33.50,0,0
Jhye Richardson,3,3,11,117,3,2/41,10.63,39.00,22.00,0,0
Lukman Meriwala,1,1,3,32,1,1/32,10.66,32.00,18.00,0,0
Mohammad Nabi,3,3,8,86,2,2/32,10.75,43.00,24.00,0,0
Adil Rashid,1,1,3,35,0,0/35,11.66,0.00,0.00,0,0
Riyan Parag,11,6,6.1,73,1,1/7,11.83,73.00,37.00,0,0
Dhawal Kulkarni,1,1,4,48,0,0/48,12.00,0.00,0.00,0,0
Shreyas Gopal,3,3,7,84,0,0/9,12.00,0.00,0.00,0,0
Kamlesh Nagarkoti,1,1,2,25,0,0/25,12.50,0.00,0.00,0,0
Navdeep Saini,2,2,4,52,0,0/25,13.00,0.00,0.00,0,0
